Column1,A,B,C,D,E,F,G,result,month,year,time
1653,07-05-2016 19:44,07-05-2016,59d3efe9-135b-4b44-ac59-80a13da8109a,f6dfb514-7d2c-489a-8f7f-8736974c979c,CARD_PAYMENT,GBP,101.93,78,5.0,2016.0,19:44:00
1654,07-05-2016 19:57,07-05-2016,6a94069c-cc53-4e82-b2eb-bc125ced3edc,6241f877-6dde-4965-86a2-35a56731f4df,BANK_TRANSFER,EUR,207.91,40,5.0,2016.0,19:57:00
1655,07-05-2016 21:54,07-05-2016,62f45dfe-1f23-45a8-9d42-57516164c18e,ee62baaf-5d44-47f1-98b0-95f2f79ecd31,ATM,GBP,119.52,20,5.0,2016.0,21:54:00
1656,08-05-2016 03:22,08-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,33225c2f-d485-4a94-981a-fd931eca8012,BANK_TRANSFER,EUR,0.84,47,5.0,2016.0,03:22:00
1657,08-05-2016 05:34,08-05-2016,e56c19b5-92d6-42e1-b758-7974989733bb,4f6302c9-12bb-4110-ae66-fa497d84ded0,TOPUP,EUR,24.69,21,5.0,2016.0,05:34:00
1658,08-05-2016 07:31,08-05-2016,839f01a2-e80f-4035-ac43-96c19a00c61c,161509a5-2979-4f0f-ac19-6687479bf082,ATM,EUR,314.82,15,5.0,2016.0,07:31:00
1659,08-05-2016 09:03,08-05-2016,715046f5-77d3-45b8-a3ac-7a05a99fa777,fdfb18e9-ec2a-4f7e-bf70-47f8f687925a,P2P_TRANSFER,EUR,342.9,6,5.0,2016.0,09:03:00
1660,08-05-2016 09:07,08-05-2016,01d7f34c-1474-4d0d-94e3-e538dfcb2157,a665921e-802a-42d5-9012-364196699123,ATM,GBP,125.55,20,5.0,2016.0,09:07:00
1661,08-05-2016 09:14,08-05-2016,26e8432c-5fdb-4b67-82e6-18f341d511a1,ea42c85e-0350-4a40-98d4-ac2cbcb52983,P2P_TRANSFER,GBP,318.13,61,5.0,2016.0,09:14:00
1662,08-05-2016 09:40,08-05-2016,59d3efe9-135b-4b44-ac59-80a13da8109a,9f8164f8-87a1-474b-8f99-e6d317aef365,ATM,EUR,238.72,78,5.0,2016.0,09:40:00
1663,08-05-2016 10:14,08-05-2016,6cae3eb6-515c-4811-8b51-32fb2e95da28,c9108ad5-0016-423d-a5a8-1ef7d39d5520,TOPUP,GBP,341.02,58,5.0,2016.0,10:14:00
1664,08-05-2016 11:25,08-05-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,0a17aa47-03d0-4fcb-9ea2-c6e0f54a6584,ATM,GBP,155.2,78,5.0,2016.0,11:25:00
1665,08-05-2016 11:26,08-05-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,7b86950e-4729-40c5-a900-da842d0995fa,TOPUP,EUR,170.47,78,5.0,2016.0,11:26:00
1666,08-05-2016 14:40,08-05-2016,678b74b3-34cd-426f-98e2-efafa56826e6,2837c190-9d7b-4778-b0cf-397465c8d647,CARD_PAYMENT,EUR,164.72,48,5.0,2016.0,14:40:00
1667,08-05-2016 15:45,08-05-2016,427ae52f-af71-46be-b9aa-d505783c9693,317541ab-bc7e-4083-9dc4-4a4de11268bb,CARD_PAYMENT,EUR,77.99,26,5.0,2016.0,15:45:00
1668,08-05-2016 15:52,08-05-2016,66759444-6c27-4076-be7d-cc374a50185b,3919fdaa-3213-4962-958b-f02f36b915f1,TOPUP,GBP,298.92,24,5.0,2016.0,15:52:00
1669,08-05-2016 16:47,08-05-2016,59f8ac07-be2b-4902-8662-bb46aa6eee9e,271c84a6-0c7d-4073-83ca-cd8978ec82ca,CARD_PAYMENT,GBP,98.75,21,5.0,2016.0,16:47:00
1670,08-05-2016 17:48,08-05-2016,44ce4a0d-012e-4fdb-82f1-b006799b7450,b436af65-d788-4c93-9f2b-95cbd17c6cc3,TOPUP,GBP,105.32,14,5.0,2016.0,17:48:00
1671,08-05-2016 19:43,08-05-2016,7bb3ba6d-ec1f-4d3b-a7ad-c8cfe1595202,38d4d5f6-5a4a-40d0-8954-4b44e61aa074,ATM,EUR,105.87,17,5.0,2016.0,19:43:00
1672,08-05-2016 20:17,08-05-2016,62f45dfe-1f23-45a8-9d42-57516164c18e,3a450750-5c34-4196-ae0a-6f60cc458459,TOPUP,EUR,194.72,20,5.0,2016.0,20:17:00
1673,08-05-2016 21:18,08-05-2016,0775525b-c2a3-469b-a09f-a6b94db3f155,6545fb99-7166-4fde-b5c3-8a546a25876b,BANK_TRANSFER,GBP,288.15,13,5.0,2016.0,21:18:00
1674,08-05-2016 21:28,08-05-2016,68c81cbf-98e2-4418-86de-ec8c4b57e512,f2bf8fce-f286-425c-8e8b-092acccc9d39,TOPUP,GBP,105.04,32,5.0,2016.0,21:28:00
1675,09-05-2016 03:20,09-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,7504f479-5cd0-4990-8446-f010a543c5fc,ATM,EUR,110.6,47,5.0,2016.0,03:20:00
1676,09-05-2016 08:57,09-05-2016,cfc95253-f390-4392-ba97-5c3f83bea345,17de28c5-6000-4ebb-b406-59a51fa633bf,TOPUP,GBP,27.77,25,5.0,2016.0,08:57:00
1677,09-05-2016 10:50,09-05-2016,adae73e0-a036-4bc4-b202-c220554e49c8,bd3f810e-21e2-427e-8166-3867fd8d8257,CARD_PAYMENT,GBP,198.43,17,5.0,2016.0,10:50:00
1678,09-05-2016 14:37,09-05-2016,65ac0928-e17d-4636-96f4-ebe6bdb9c98d,af994b6b-5da8-4da4-81db-85c2600a39b4,BANK_TRANSFER,GBP,95.18,84,5.0,2016.0,14:37:00
1679,09-05-2016 14:42,09-05-2016,62f45dfe-1f23-45a8-9d42-57516164c18e,e90e4d3e-fe86-4aa1-b3a0-35da90185624,P2P_TRANSFER,GBP,204.07,20,5.0,2016.0,14:42:00
1680,09-05-2016 15:20,09-05-2016,adae73e0-a036-4bc4-b202-c220554e49c8,4e648bdd-67f6-4f3b-a0e2-5b351b623905,ATM,GBP,36.93,17,5.0,2016.0,15:20:00
1681,09-05-2016 17:49,09-05-2016,968aa748-7411-4d66-904b-19362253b866,40f3c45b-992a-4557-8aea-08e515393eab,BANK_TRANSFER,GBP,195.82,19,5.0,2016.0,17:49:00
1682,09-05-2016 18:02,09-05-2016,6ea04a19-ff04-4a09-b471-b3005ff2a277,e321bd66-39b5-45c3-8318-d14fc51384a7,TOPUP,GBP,25.02,10,5.0,2016.0,18:02:00
1683,09-05-2016 18:16,09-05-2016,d8624073-0c9b-4fd3-ba3a-f48cdb7c5001,7cc4065a-abea-497c-a7a1-0ba40698430e,ATM,GBP,232.48,12,5.0,2016.0,18:16:00
1684,09-05-2016 20:11,09-05-2016,826be7c5-2d4f-4422-b631-2f706377eda3,2f1f72b0-53dd-44e1-9013-0fda696a9d6b,BANK_TRANSFER,GBP,94.71,5,5.0,2016.0,20:11:00
1685,09-05-2016 21:56,09-05-2016,c94c2fa7-06cc-4c4e-b5b8-c8fcc20798f6,3f80bec4-555b-4867-8978-4b8a5df2e1b8,ATM,GBP,201.06,30,5.0,2016.0,21:56:00
1686,09-05-2016 23:21,09-05-2016,638c66b0-b27c-4548-95b9-ab18baaf478d,07db85ba-1dca-43aa-96f8-56db395fb049,TOPUP,GBP,10.36,1,5.0,2016.0,23:21:00
1687,10-05-2016 02:18,10-05-2016,e4c0befe-0325-438a-b47d-ee6643c05184,16785e38-dc59-4e4f-8473-fb9311aafc0b,BANK_TRANSFER,GBP,323.95,32,5.0,2016.0,02:18:00
1688,10-05-2016 06:43,10-05-2016,62f45dfe-1f23-45a8-9d42-57516164c18e,903d2ace-eeaf-4b85-9134-0018c00432fe,ATM,EUR,38.92,20,5.0,2016.0,06:43:00
1689,10-05-2016 08:41,10-05-2016,d1bc3cd6-154e-479f-8957-a69cdf414462,8e2cf820-ebf9-4041-8e02-0a62b7a8138b,CARD_PAYMENT,GBP,310.27,95,5.0,2016.0,08:41:00
1690,10-05-2016 09:08,10-05-2016,95941181-1c36-4b40-9956-89960c2c7517,52eddc65-d237-4a52-9050-3421d9d7a0f0,TOPUP,GBP,260.42,4,5.0,2016.0,09:08:00
1691,10-05-2016 09:31,10-05-2016,5379ecfd-a7d0-4767-bfce-40193b738107,008c7781-8ae7-412c-b0a4-b25c536e6d00,P2P_TRANSFER,GBP,311.01,6,5.0,2016.0,09:31:00
1692,10-05-2016 10:32,10-05-2016,95941181-1c36-4b40-9956-89960c2c7517,72ab4ebb-2846-43ac-85dd-13cc7dab833d,CARD_PAYMENT,EUR,331.75,4,5.0,2016.0,10:32:00
1693,10-05-2016 11:41,10-05-2016,b1693eae-6a23-49af-be37-14ecdb77ab6f,f6cee75d-62a4-49ba-bcf4-92752d5435f9,CARD_PAYMENT,GBP,150.27,43,5.0,2016.0,11:41:00
1694,10-05-2016 12:42,10-05-2016,7e0980dd-f859-4fab-8b46-6d5f35bbc029,85e04a10-6eed-4d8c-aabb-862891a208af,BANK_TRANSFER,EUR,90.07,11,5.0,2016.0,12:42:00
1695,10-05-2016 13:26,10-05-2016,26e8432c-5fdb-4b67-82e6-18f341d511a1,5cbb2164-9416-4229-b577-23c66becf628,CARD_PAYMENT,EUR,113.46,61,5.0,2016.0,13:26:00
1696,10-05-2016 14:28,10-05-2016,01d7f34c-1474-4d0d-94e3-e538dfcb2157,eaddfc76-7810-40bf-bb4f-d308cea8450c,TOPUP,EUR,205.37,20,5.0,2016.0,14:28:00
1697,10-05-2016 14:30,10-05-2016,d4aee110-f821-4545-b617-1f49eacad2b9,57fd27d2-639e-4901-88c3-927e818dbfd0,ATM,GBP,192.45,2,5.0,2016.0,14:30:00
1698,10-05-2016 14:32,10-05-2016,d4aee110-f821-4545-b617-1f49eacad2b9,1984322a-ed0c-41cc-833a-c53ed4847a80,BANK_TRANSFER,EUR,9.54,2,5.0,2016.0,14:32:00
1699,10-05-2016 15:26,10-05-2016,dab722a5-8bdf-4763-88be-82915cc618ff,8383871a-3861-491f-a7b3-62786eb5d07f,CARD_PAYMENT,GBP,156.22,43,5.0,2016.0,15:26:00
1700,10-05-2016 15:28,10-05-2016,aed21f21-111d-4efd-b114-b08c24f6dd18,04e30c53-6558-4c2c-b9ce-fb6b940d7939,ATM,GBP,263.94,40,5.0,2016.0,15:28:00
1701,10-05-2016 17:29,10-05-2016,62f45dfe-1f23-45a8-9d42-57516164c18e,afdf9c8a-dfa4-4398-875f-27f169db7d3a,TOPUP,EUR,285.51,20,5.0,2016.0,17:29:00
1702,10-05-2016 18:50,10-05-2016,4aabb0da-0658-4ab0-be7c-66fee0de7a0a,20fb52e8-fc2e-42d7-b20b-cbd1147b7809,TOPUP,EUR,214.95,26,5.0,2016.0,18:50:00
1703,10-05-2016 18:50,10-05-2016,c7694312-35a7-4d41-ad51-76133c8bfe83,27f1fcc2-f6f4-419e-b535-13d37af6133e,ATM,GBP,28.56,20,5.0,2016.0,18:50:00
1704,10-05-2016 20:08,10-05-2016,0775525b-c2a3-469b-a09f-a6b94db3f155,91938dec-de3a-42a8-a774-403356a04413,TOPUP,EUR,249.05,13,5.0,2016.0,20:08:00
1705,10-05-2016 21:51,10-05-2016,50219990-a361-4d11-8421-0bf5e3c0c2e2,fdfebe94-395e-4b52-91f5-3bef14a12f9d,ATM,GBP,131.97,4,5.0,2016.0,21:51:00
1706,11-05-2016 02:18,11-05-2016,147ac84c-e1d0-4f6d-a92d-e62758cf6304,0936c8a0-fdc1-4879-917b-f4276da9713a,ATM,EUR,19.61,13,5.0,2016.0,02:18:00
1707,11-05-2016 03:33,11-05-2016,34834ea3-1f44-4893-8c92-452a54d9ceda,9566ae28-6a98-4260-8029-48858dc96a47,ATM,EUR,257.68,1,5.0,2016.0,03:33:00
1708,11-05-2016 08:39,11-05-2016,86459777-d822-49ef-a9e0-95c2c82adeea,42e226f3-a457-4f7c-aab7-d5d610a5154d,CARD_PAYMENT,GBP,166.22,13,5.0,2016.0,08:39:00
1709,11-05-2016 08:49,11-05-2016,95941181-1c36-4b40-9956-89960c2c7517,e8d04151-afef-4144-ba25-f60f94b4161d,TOPUP,EUR,253.42,4,5.0,2016.0,08:49:00
1710,11-05-2016 13:14,11-05-2016,1b0cea22-30b3-4ca1-953a-f1ee73503ddc,2bfcbea0-f0ff-45d1-95ca-b2b69d22c3b6,BANK_TRANSFER,EUR,11.18,16,5.0,2016.0,13:14:00
1711,11-05-2016 15:09,11-05-2016,62f45dfe-1f23-45a8-9d42-57516164c18e,9581c918-aab7-4352-a03e-14cf398bb969,ATM,GBP,20.44,20,5.0,2016.0,15:09:00
1712,11-05-2016 15:17,11-05-2016,c7694312-35a7-4d41-ad51-76133c8bfe83,5f08ffac-a59b-444e-8655-f0a640e3f11a,CARD_PAYMENT,GBP,158.51,20,5.0,2016.0,15:17:00
1713,11-05-2016 20:49,11-05-2016,f54baeeb-7282-4d23-9bb7-e8396ce1b159,4cee43b2-5fc2-48ce-bd02-68f451eaa9b5,TOPUP,GBP,80.37,65,5.0,2016.0,20:49:00
1714,11-05-2016 21:16,11-05-2016,9b3e3d02-e389-4a56-8fe1-6d6a7357e8c9,b274ae90-d6bf-4916-b681-81edd9d54ef0,ATM,GBP,328.2,29,5.0,2016.0,21:16:00
1715,11-05-2016 22:10,11-05-2016,2a94c64d-a5aa-4807-b581-97339f61006b,3624f8aa-53f6-4f2e-a9a8-293ffcbaeabc,CARD_PAYMENT,EUR,118.4,24,5.0,2016.0,22:10:00
1716,11-05-2016 22:42,11-05-2016,e4c0befe-0325-438a-b47d-ee6643c05184,c3db0c3c-cfc5-4454-baa4-9519d62d7eca,CARD_PAYMENT,GBP,220.75,32,5.0,2016.0,22:42:00
1717,12-05-2016 04:15,12-05-2016,99bc19bc-6b5f-4dba-8643-00a278f3edf4,cd3cee06-1d60-417e-b1f7-ee367733de98,ATM,EUR,142.02,21,5.0,2016.0,04:15:00
1718,12-05-2016 05:58,12-05-2016,678b74b3-34cd-426f-98e2-efafa56826e6,3f587f52-76ff-4ffc-9afd-3b3e584f10c8,BANK_TRANSFER,GBP,10.07,48,5.0,2016.0,05:58:00
1719,12-05-2016 06:49,12-05-2016,6cae3eb6-515c-4811-8b51-32fb2e95da28,f75a1078-4f26-4fc9-ba30-b2c9e2e561bc,BANK_TRANSFER,EUR,261.31,58,5.0,2016.0,06:49:00
1720,12-05-2016 07:26,12-05-2016,7aedd7a8-f400-4a8f-82cd-e32aa05c3ae7,294e26ed-8fcf-4346-8805-3bdad8078ff8,TOPUP,GBP,120.76,23,5.0,2016.0,07:26:00
1721,12-05-2016 07:57,12-05-2016,2a94c64d-a5aa-4807-b581-97339f61006b,46cf8af7-0ae0-459b-88af-f14b1130032a,ATM,GBP,311.34,24,5.0,2016.0,07:57:00
1722,12-05-2016 08:26,12-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,e231d184-1728-43e6-9bda-16959278ffc3,BANK_TRANSFER,EUR,13.49,47,5.0,2016.0,08:26:00
1723,12-05-2016 08:50,12-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,67feb1b8-58b0-4a60-a77e-55d6badf2725,P2P_TRANSFER,GBP,109.53,47,5.0,2016.0,08:50:00
1724,12-05-2016 09:17,12-05-2016,9c8a1ea6-b57c-4084-ac2d-58bc339e4e86,96690253-4617-4475-ad8f-9ba24ea85a8e,ATM,GBP,56.92,48,5.0,2016.0,09:17:00
1725,12-05-2016 09:30,12-05-2016,1b0cea22-30b3-4ca1-953a-f1ee73503ddc,b7d9a4e0-56c2-4f27-ad02-ca508741e3b4,BANK_TRANSFER,EUR,106.36,16,5.0,2016.0,09:30:00
1726,12-05-2016 11:42,12-05-2016,da18f4b0-f1b6-4cd9-9962-a53dd65974ad,0db18e1d-bea2-4280-9192-f4baf06cb920,ATM,EUR,19.48,4,5.0,2016.0,11:42:00
1727,12-05-2016 12:06,12-05-2016,da18f4b0-f1b6-4cd9-9962-a53dd65974ad,202a35fa-ea7c-4b1e-891d-62fc76b539ff,BANK_TRANSFER,GBP,261.2,4,5.0,2016.0,12:06:00
1728,12-05-2016 13:42,12-05-2016,8935839b-2dd8-4b04-ba7f-7aa9361358d3,482375cb-97f2-4660-98a5-8ef9c275c754,BANK_TRANSFER,EUR,256.93,3,5.0,2016.0,13:42:00
1729,12-05-2016 15:14,12-05-2016,adae73e0-a036-4bc4-b202-c220554e49c8,31cb503c-6de0-41d0-9ca6-66d2f93b2eab,TOPUP,EUR,24.23,17,5.0,2016.0,15:14:00
1730,12-05-2016 15:17,12-05-2016,1b0cea22-30b3-4ca1-953a-f1ee73503ddc,808564c0-0b9d-44e9-8908-0c82bab4fc07,CARD_PAYMENT,GBP,247.88,16,5.0,2016.0,15:17:00
1731,12-05-2016 15:28,12-05-2016,e6e96582-7308-4070-bc1b-6ae15caf25f5,9bcedf9a-437f-4cf5-bd9c-0a8712211afd,CARD_PAYMENT,EUR,299.02,12,5.0,2016.0,15:28:00
1732,12-05-2016 15:29,12-05-2016,e6e96582-7308-4070-bc1b-6ae15caf25f5,297a8c31-bbe3-4cec-b2dc-55a81ebc154c,ATM,EUR,6.53,12,5.0,2016.0,15:29:00
1733,12-05-2016 15:47,12-05-2016,c483216d-b457-44cc-bdab-9a65f44c9620,fdc2b45c-011c-48d9-afef-2f2446a1527d,ATM,EUR,254.46,17,5.0,2016.0,15:47:00
1734,12-05-2016 15:54,12-05-2016,826be7c5-2d4f-4422-b631-2f706377eda3,8a2f870b-5f30-418b-8bbb-0ba23f5865bb,BANK_TRANSFER,GBP,50.11,5,5.0,2016.0,15:54:00
1735,12-05-2016 16:42,12-05-2016,b1693eae-6a23-49af-be37-14ecdb77ab6f,06009659-49c2-46bb-8674-bdd1c22fe536,ATM,EUR,139.29,43,5.0,2016.0,16:42:00
1736,12-05-2016 17:31,12-05-2016,f1772245-4581-45eb-8d21-c62586cafba4,11fbca2c-75db-4a10-b692-aa2eef8f8583,CARD_PAYMENT,GBP,148.99,9,5.0,2016.0,17:31:00
1737,12-05-2016 17:38,12-05-2016,41ec9d0b-100b-4a74-9d09-534dc76967a6,ed1f418e-7a1d-4136-b9f7-7a73c548618d,TOPUP,GBP,333.3,26,5.0,2016.0,17:38:00
1738,12-05-2016 18:13,12-05-2016,60808398-e36d-43ac-98ca-8ec3c2fa5bb0,51b3f089-4179-4469-bc39-fe738fab4c50,CARD_PAYMENT,GBP,87.71,17,5.0,2016.0,18:13:00
1739,12-05-2016 18:52,12-05-2016,0775525b-c2a3-469b-a09f-a6b94db3f155,c00a254c-cf94-4d34-a29c-54389fbb1acb,CARD_PAYMENT,GBP,142.33,13,5.0,2016.0,18:52:00
1740,12-05-2016 20:36,12-05-2016,95941181-1c36-4b40-9956-89960c2c7517,c44695e9-446c-417d-8322-4f2e999358c3,CARD_PAYMENT,GBP,304.5,4,5.0,2016.0,20:36:00
1741,12-05-2016 22:33,12-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,477072cc-83dc-4c6c-a2d7-d94ded4562f9,TOPUP,EUR,63.62,47,5.0,2016.0,22:33:00
1742,12-05-2016 23:09,12-05-2016,06bb2d68-bf61-4030-8447-9de64d3ce490,c9dfb9c7-6bb9-4472-b26e-3e02bcddc62c,BANK_TRANSFER,GBP,22.49,132,5.0,2016.0,23:09:00
1743,13-05-2016 01:26,13-05-2016,fe60c35b-b5cc-4e74-86c0-021ea4d5ca63,5b636def-7568-48e6-8107-358298f3ae22,CARD_PAYMENT,EUR,167.23,14,5.0,2016.0,01:26:00
1744,13-05-2016 04:48,13-05-2016,0775525b-c2a3-469b-a09f-a6b94db3f155,1e883336-3ab4-46c2-ad2f-0e12c1c02098,CARD_PAYMENT,GBP,160.27,13,5.0,2016.0,04:48:00
1745,13-05-2016 06:01,13-05-2016,59d3efe9-135b-4b44-ac59-80a13da8109a,c173ee63-16e1-4de4-8675-44a765ec8fe5,CARD_PAYMENT,EUR,328.12,78,5.0,2016.0,06:01:00
1746,13-05-2016 07:18,13-05-2016,b5fef97e-cb5b-4b1b-b09c-3457ed922aea,46082c5a-d514-4a4f-8d87-ee08de4b1c84,TOPUP,EUR,65.98,7,5.0,2016.0,07:18:00
1747,13-05-2016 08:59,13-05-2016,6cae3eb6-515c-4811-8b51-32fb2e95da28,400ed2fb-6102-479d-b781-e50212bb5b35,BANK_TRANSFER,EUR,46.33,58,5.0,2016.0,08:59:00
1748,13-05-2016 09:29,13-05-2016,3f6bb28c-f945-4027-9178-747956c3ea58,1350572d-5dbb-45fb-8c7e-a5627f87bdcf,BANK_TRANSFER,GBP,21.16,22,5.0,2016.0,09:29:00
1749,13-05-2016 12:42,13-05-2016,9cb5f8ab-dc78-4968-a28e-90da31614ecb,8c00e13c-8d34-4f1e-9dbd-b72635ba8271,TOPUP,EUR,56.84,51,5.0,2016.0,12:42:00
1750,13-05-2016 17:34,13-05-2016,eaea409b-3ee0-4bfb-b454-0139d180693b,6075447b-eac7-4096-afb1-72ad4356544d,ATM,GBP,37.21,3,5.0,2016.0,17:34:00
1751,13-05-2016 19:04,13-05-2016,dab722a5-8bdf-4763-88be-82915cc618ff,f05c6b87-d56e-438b-811f-10711c3a0d7b,ATM,EUR,80.17,43,5.0,2016.0,19:04:00
1752,13-05-2016 19:53,13-05-2016,89594a0e-f75e-477c-bdf4-9ab9d4962eed,10c651f2-72ff-42d4-b6ca-1c8d87e974eb,BANK_TRANSFER,GBP,312.8,11,5.0,2016.0,19:53:00
1753,13-05-2016 19:58,13-05-2016,59d3efe9-135b-4b44-ac59-80a13da8109a,055a301d-68bf-4f1a-848b-5b55422f00ec,CARD_PAYMENT,EUR,294.44,78,5.0,2016.0,19:58:00
1754,14-05-2016 03:44,14-05-2016,e4c0befe-0325-438a-b47d-ee6643c05184,5deeed7c-22f4-4dd4-80c6-b48d9ed61f05,CARD_PAYMENT,GBP,293.29,32,5.0,2016.0,03:44:00
1755,14-05-2016 06:15,14-05-2016,e4c0befe-0325-438a-b47d-ee6643c05184,e9a2661d-1445-4f33-96b8-a3f7ecf41ee0,CARD_PAYMENT,GBP,185.04,32,5.0,2016.0,06:15:00
1756,14-05-2016 07:17,14-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,da6524df-be7c-445f-a99d-d2da3c8b9299,P2P_TRANSFER,GBP,252.16,47,5.0,2016.0,07:17:00
1757,14-05-2016 07:41,14-05-2016,9659909c-0232-4cc1-802f-9f17cfa18d27,05308aa4-09c6-4253-a695-c0b1188d74f7,BANK_TRANSFER,GBP,179.36,18,5.0,2016.0,07:41:00
1758,14-05-2016 07:47,14-05-2016,5d3fef44-4c2b-4a34-ab13-ee8ad2e0292b,3fef5003-9b81-4338-a7c3-273811862758,CARD_PAYMENT,EUR,285.6,2,5.0,2016.0,07:47:00
1759,14-05-2016 08:31,14-05-2016,4e04f3a5-ea58-4b25-9275-3fd3e0ac21da,e9776f21-c34f-4d60-a6a8-a5f7d795c6d7,TOPUP,GBP,36.85,4,5.0,2016.0,08:31:00
1760,14-05-2016 09:37,14-05-2016,dc43bf64-4cfe-4474-9ded-05b4728ef71d,9efab05b-b7f9-4879-9cb1-a1669e4c3374,ATM,GBP,164.17,36,5.0,2016.0,09:37:00
1761,14-05-2016 10:26,14-05-2016,6cae3eb6-515c-4811-8b51-32fb2e95da28,5dc9a4fd-6c8d-4d50-8ae4-d8558d27b2ad,CARD_PAYMENT,GBP,29.61,58,5.0,2016.0,10:26:00
1762,14-05-2016 11:06,14-05-2016,769c5f83-14e6-427d-bba2-879b3ce4d633,3c9c3b5d-703f-4d88-b966-2242ca15793b,ATM,EUR,43.04,47,5.0,2016.0,11:06:00
1763,14-05-2016 12:34,14-05-2016,574fa066-a47a-44f2-af90-8f6d2f2ef78d,1aca4cf4-44f5-42bc-b9bd-702ea4149e6a,CARD_PAYMENT,GBP,35.97,14,5.0,2016.0,12:34:00
1764,14-05-2016 12:34,14-05-2016,59151119-e6be-4f20-a1dd-221bd16d220e,1fad848c-ae75-4edd-bc86-b35afcb4b435,P2P_TRANSFER,GBP,176.72,15,5.0,2016.0,12:34:00
1765,14-05-2016 13:22,14-05-2016,41ec9d0b-100b-4a74-9d09-534dc76967a6,ad550cc7-2cd4-4c5e-8f67-810a8f5e7890,ATM,GBP,11.15,26,5.0,2016.0,13:22:00
1766,14-05-2016 15:48,14-05-2016,4aabb0da-0658-4ab0-be7c-66fee0de7a0a,8b349728-d903-4871-ad6f-98b31e02f4c2,ATM,GBP,302.64,26,5.0,2016.0,15:48:00
1767,14-05-2016 16:24,14-05-2016,4aabb0da-0658-4ab0-be7c-66fee0de7a0a,63447f2e-8d96-450c-9908-fe3fb9f453ba,TOPUP,EUR,306.52,26,5.0,2016.0,16:24:00
1768,14-05-2016 16:40,14-05-2016,aed21f21-111d-4efd-b114-b08c24f6dd18,7d67162d-190d-4138-8377-280111d89da2,P2P_TRANSFER,GBP,40.99,40,5.0,2016.0,16:40:00
1769,14-05-2016 16:53,14-05-2016,35142678-ec37-4948-8766-60134b1a5dd0,5059a70f-4749-4e4e-be62-4761fa040d45,CARD_PAYMENT,EUR,300.71,5,5.0,2016.0,16:53:00
1770,14-05-2016 20:37,14-05-2016,59d3efe9-135b-4b44-ac59-80a13da8109a,42262606-b378-430a-9255-ae63e29f1d1d,ATM,GBP,18.76,78,5.0,2016.0,20:37:00
1771,14-05-2016 20:37,14-05-2016,fe60c35b-b5cc-4e74-86c0-021ea4d5ca63,f7b9d513-a0de-4480-b63e-4699accf89ef,BANK_TRANSFER,GBP,14.52,14,5.0,2016.0,20:37:00
1772,14-05-2016 20:58,14-05-2016,5c2d8bfc-9fd9-450a-acdb-68277f187a11,d79b2e89-2eb3-430d-9d9d-f5f5664fe09f,TOPUP,EUR,180.82,50,5.0,2016.0,20:58:00
1773,14-05-2016 21:27,14-05-2016,5c2d8bfc-9fd9-450a-acdb-68277f187a11,f3c90a5e-ab2b-4c4e-ace6-c719afa05e68,TOPUP,GBP,188.57,50,5.0,2016.0,21:27:00
1774,14-05-2016 22:02,14-05-2016,dab722a5-8bdf-4763-88be-82915cc618ff,76ad8afe-043e-41c7-9fd6-607c4158ab6f,BANK_TRANSFER,GBP,346.55,43,5.0,2016.0,22:02:00
1775,14-05-2016 23:58,14-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,2a12b104-0b7d-449c-a25e-f5082f26b799,BANK_TRANSFER,GBP,315.42,47,5.0,2016.0,23:58:00
1776,15-05-2016 00:14,15-05-2016,54b1032f-5fc3-45b8-91be-f81696f512a9,71090cec-d7e9-41d9-9397-8b04f1b4d709,BANK_TRANSFER,EUR,172.21,47,5.0,2016.0,00:14:00
1777,15-05-2016 10:28,15-05-2016,9cb5f8ab-dc78-4968-a28e-90da31614ecb,fb469b6c-1a8a-455f-a93e-9c9f446b57fd,TOPUP,GBP,229.05,51,5.0,2016.0,10:28:00
1778,15-05-2016 11:21,15-05-2016,f54baeeb-7282-4d23-9bb7-e8396ce1b159,668de332-ebb8-4653-a4f5-f769d1709027,BANK_TRANSFER,GBP,71.98,65,5.0,2016.0,11:21:00
1779,15-05-2016 12:10,15-05-2016,674ab841-acb9-4fb5-9faf-ed46114cbc80,34f6992e-48dc-4b87-a5c4-45a9fe7a5905,ATM,GBP,47.66,4,5.0,2016.0,12:10:00
1780,15-05-2016 14:08,15-05-2016,89594a0e-f75e-477c-bdf4-9ab9d4962eed,93e2d5fe-938a-4455-83e3-76abc226fd95,ATM,GBP,8.72,11,5.0,2016.0,14:08:00
1781,15-05-2016 14:43,15-05-2016,3e3cdb9c-b1e2-475a-ba6a-cb47acab9a36,ee5b94f6-b0be-4d2b-8435-0ac9bdce2ca0,BANK_TRANSFER,EUR,209.53,2,5.0,2016.0,14:43:00
